id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated,brn,registered_address,company_type,date_of_incorporation,cr_matched_name,cr_match_ratio
54,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32713873,"23/F, RAILWAY PLAZA,, 39 CHATHAM ROAD SOUTH,, TSIMSHATSUI, HONG KONG",Private company limited by shares,27-03-2002,CHINA CIVIL ENGINEERING CONSTRUCTION CO. (H.K.) LIMITED,0.943
55,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32713873,"23/F, RAILWAY PLAZA,, 39 CHATHAM ROAD SOUTH,, TSIMSHATSUI, HONG KONG",Private company limited by shares,27-03-2002,CHINA CIVIL ENGINEERING CONSTRUCTION CO. (H.K.) LIMITED,0.943
56,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,32713873,"23/F, RAILWAY PLAZA,, 39 CHATHAM ROAD SOUTH,, TSIMSHATSUI, HONG KONG",Private company limited by shares,27-03-2002,CHINA CIVIL ENGINEERING CONSTRUCTION CO. (H.K.) LIMITED,0.943
57,China Geo-Engineering Corporation,中國地質工程集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
58,China Geo-Engineering Corporation,中國地質工程集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
59,China Geo-Engineering Corporation,中國地質工程集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,,,,,,
60,China Geology (Hong Kong) Industry Limited,中地(香港)實業有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,21049558,"UNIT 2421-25, 24/F SUN HUNG KAI CENTRE, 30 HARBOUR ROAD WANCHAI, HONG KONG",Private company limited by shares,27-06-1997,CHINA GEOLOGY (HONG KONG) INDUSTRY LIMITED,1.0
61,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35448594,"6/F TIMES TOWER, 393 JAFFE RD, WANCHAI, HONG KONG",Private company limited by shares,25-02-2005,CHINA HARBOUR LIMITED,0.9
62,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35448594,"6/F TIMES TOWER, 393 JAFFE RD, WANCHAI, HONG KONG",Private company limited by shares,25-02-2005,CHINA HARBOUR LIMITED,0.9
63,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25,35448594,"6/F TIMES TOWER, 393 JAFFE RD, WANCHAI, HONG KONG",Private company limited by shares,25-02-2005,CHINA HARBOUR LIMITED,0.9
