id,name_en,name_zh,category,group_code,status,source_url,first_seen,last_updated
44,Chau Mou Engineering & Company,秋茂工程公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
45,Chee Cheung Hing & Company Limited,朱祥興有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
46,Cheerful Technology Limited,時富科技有限公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
47,Cheung Hing Construction Company Limited,祥興建造有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
48,Chevalier (Civil Engineering) Limited,其士 (土木工程) 有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
49,Chevalier (Construction) Company Limited,其士 (建築) 有限公司,Buildings,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
50,Chi Shing Building and Construction Limited,志成建築營造有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
51,Chi Sum Engineering Limited,志森營造有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
52,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
53,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
54,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
55,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
56,China Civil Engineering Construction Corporation,中國土木工程集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
57,China Geo-Engineering Corporation,中國地質工程集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
58,China Geo-Engineering Corporation,中國地質工程集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
59,China Geo-Engineering Corporation,中國地質工程集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
60,China Geology (Hong Kong) Industry Limited,中地(香港)實業有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
61,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
62,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
63,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
64,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
65,China Harbour Engineering Company Limited,中國港灣工程有限責任公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
66,China International Water & Electric Corporation,中國水利電力對外有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
67,China International Water & Electric Corporation,中國水利電力對外有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
68,China International Water & Electric Corporation,中國水利電力對外有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
69,China International Water & Electric Corporation,中國水利電力對外有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
70,China International Water & Electric Corporation,中國水利電力對外有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
71,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
72,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
73,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
74,China Metallurgical Group Corporation,中國冶金科工集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
75,China National Chemical Engineering Group Corporation Limited,中國化學工程集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
76,China National Chemical Engineering Group Corporation Limited,中國化學工程集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
77,China Overseas Building Construction Limited,中國海外房屋工程有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
78,"China Railway 15th Bureau Group Co., Ltd.",中鐵十五局集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
79,"China Railway 15th Bureau Group Co., Ltd.",中鐵十五局集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
80,"China Railway 15th Bureau Group Co., Ltd.",中鐵十五局集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
81,China Railway Construction Corporation Limited,中國鐵建股份有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
82,China Railway Construction Corporation Limited,中國鐵建股份有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
83,"China Railway Construction Group Co., Ltd.",中鐵建設集團有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
84,"China Railway Construction Group Co., Ltd.",中鐵建設集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
85,"China Railway First Group Co.,Ltd",中鐵一局集團有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
86,"China Railway First Group Co.,Ltd",中鐵一局集團有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
87,"China Railway First Group Co.,Ltd",中鐵一局集團有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
88,China Railway Group Limited,中國中鐵股份有限公司,Roads & Drainage,C,suspended,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
89,China Railway Group Limited,中國中鐵股份有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
90,China Railway Group Limited,中國中鐵股份有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
91,China Road and Bridge Corporation,中國路橋工程有限責任公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
92,China Road and Bridge Corporation,中國路橋工程有限責任公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
93,China Road and Bridge Corporation,中國路橋工程有限責任公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
94,China Road and Bridge Corporation,中國路橋工程有限責任公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
95,China Road and Bridge Corporation,中國路橋工程有限責任公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
96,China State Civil Engineering Limited,中國建築土木工程有限公司,Roads & Drainage,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
97,China State Civil Engineering Limited,中國建築土木工程有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
98,China State Construction Engineering (Hong Kong) Limited,中國建築工程 (香港) 有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
99,China State Construction Engineering (Hong Kong) Limited,中國建築工程 (香港) 有限公司,Port Works,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
100,China State Construction Engineering (Hong Kong) Limited,中國建築工程 (香港) 有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
101,China State Construction Engineering (Hong Kong) Limited,中國建築工程 (香港) 有限公司,Site Formation,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
102,China State Construction Engineering (Hong Kong) Limited,中國建築工程 (香港) 有限公司,Waterworks,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
103,Ching Lee Engineering Limited,正利工程有限公司,Buildings,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
104,"Chinney Construction Company, Limited",建業建築有限公司,Buildings,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
105,Chit Cheung Construction Company Limited,捷章建築有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
106,Chit Cheung Construction Company Limited,捷章建築有限公司,Site Formation,B,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
107,Chit Cheung Construction Company Limited,捷章建築有限公司,Waterworks,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
108,Chiu Hing Construction & Transportation Company Limited,昭興建築運輸有限公司,Roads & Drainage,C,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
109,CHK Construction (HK) Limited,向建建築(香港)有限公司,Roads & Drainage,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
110,Chong Kee Construction Company Limited,莊記建築有限公司,Roads & Drainage,A,active,https://www.devb.gov.hk/filemanager/externaldb/list_contractor_80.js,2026-08-20T01:23:05,2026-08-20T01:25:25
