REHAB_PROJ_KEY,BUILDING_NAME_ENG,BUILDING_NAME_CHI,BUILDING_ADDRESS_ENG,BUILDING_ADDRESS_CHI,DISTRICT,COMPLETION_YEAR,NUMBER_OF_UNITS,NUMBER_OF_STOREYS,REHABILITATION_COST,AVERAGE_CONTRIBUTION_PER_UNIT,OP_YEAR,SCHEME,SCOPE_OF_WORKS
1401,Hoi Kwok Building,海角唐樓,44-54 Li Tak Street & 20 Kok Cheung Street,利得街44-54號及角祥街20號,Yau Tsim Mong,2014,96,8,4685911,48811.57,1963,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Fire Services Installation Improvement
703,Good World Building,好世界洋樓,197-199 Tong Mi Road,塘尾道197-199號,Yau Tsim Mong,2011,107,15,3359290,31395.23,1975,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Replacement/Repairing of Windows
1156,Tsui Yuen Mansion,翠園大廈,83-87 Dundas Street & 2-20 Kwong Wa Street,登打士街83-87號及廣華街2-20號,Yau Tsim Mong,2012,132,10,3751000,28416.67,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Removal of Unauthorized Building Works; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
995,,,167-169 Reclamation Street,新填地街167-169號,Yau Tsim Mong,2012,18,9,937000,52055.56,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Windows
615,Mongkok Building,華懋王子大廈,97 Mong Kok Road,旺角道97號,Yau Tsim Mong,2011,119,22,3438199,28892.43,1973,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
616,Yau Wo Apartments,友和大樓,132-136A Fa Yuen Street,花園街132-136A號,Yau Tsim Mong,2011,64,16,4248000,66375,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Re-roofing for Main Roof; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
949,Wah May Building Block A,華美大樓A座,36 Shantung Street,山東街36號,Yau Tsim Mong,2011,35,13,2150000,61428.57,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Flushing Water Pipes; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows
1141,Independence Building,獨立大廈,499-501A Nathan Road,彌敦道499-501A號,Yau Tsim Mong,2013,41,13,3188500,77768.29,1964,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
974,Winner Mansion,永如大廈,691-697 Nathan Road,彌敦道691-697號,Yau Tsim Mong,2012,94,17,6124833,65157.8,1968,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Fire Services Installation Improvement; Replacement/Repairing of Fire Rated Doors; Replacement/Repairing of Windows; Main Lobby Redecoration
755,Kam Kun House,金冠樓,834-838 Canton Road & 27B Pitt Street,廣東道834-838號及碧街27B號,Yau Tsim Mong,2011,32,7,1310000,40937.5,1972,OBB(Cat1),Concrete Repair; External Wall Re-painting/Re-tiling; Internal Wall Re-painting; Replacement of Drainage Pipes; Replacement of Fresh Water Pipes; Replacement of Flushing Water Pipes; Re-roofing for Main Roof; Electrical Installation Improvement; Replacement/Repairing of Windows
