no.,source,tender_ref,contractor_name,contract_value,currency,award_date,url
68,gld,A1100052024,"Zhuhai Desail Marine Fishery Technology Co., Ltd.",64600000.0,HKD,2025-05-02,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
69,archsd,SSN518,Treasure Construction Engineering Limited,480121500.0,HKD,2025-05-16,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
70,archsd,SSN517,Allied Success - Creative Concept Joint Venture,503446000.0,HKD,2025-05-19,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
71,archsd,SSM510,Lanon - Hop Lee Joint Venture,505550000.0,HKD,2025-05-22,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
72,archsd,RFM809,Maylon Construction Company Limited,23190000.0,HKD,2025-05-26,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
73,gld,A2500672023,Hytera Communications Corporation Limited,78569200.0,HKD,2025-05-29,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
74,gld,A0600522024,Johnson Cleaning Services Company Limited,2488800.0,HKD,2025-05-30,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
75,archsd,SSP504,Shui On - Cycle Links (SSP504) Joint Venture,1032275500.0,HKD,2025-06-03,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
76,archsd,SSN504,Man Kit Construction Company Limited,233233495.46,HKD,2025-06-03,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
77,gld,A0100172024,Energy Trading Company Limited,15375000.0,HKD,2025-06-24,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
78,gld,A0600952024,C & C Security Printing Company Limited,23490350.0,HKD,2025-06-25,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
79,gld,A0600622024,Wyson Security Services Limited,9102384.0,HKD,2025-06-27,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
80,archsd,REN521,China State Construction Engineering (Hong Kong) Limited,2200000000.0,HKD,2025-07-02,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
81,archsd,SSP506,Chun Wo Building Construction Limited,460140000.0,HKD,2025-07-17,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
